Reginald Androcles Fileas NeoWilliams ::: (English) king's advisor, (Greek) man covered with glory, (Greek) he who loves deeply, (American) new Williams
Reginald Bonito Maro NeoWilliams ::: (English) king's advisor, (Latin) worthy, (Japanese) myself, (American) new Williams
Maro Phoenix Renatus Zoyamor ::: (Japanese) myself, (English) phoenix, (Italian) reborn, (Greek/Latin/me) lover of all living beings
Maro Percival Herodes Waterfall ::: (Japanese) myself, (French) pierce the valley, (Greek) the fire dragon, (American) waterfall
Reginald Androcles NeoWilliams Gaylord ::: (English) king's advisor, (Greek) man covered with glory, (American) new Williams, (French) merry lord; jailer
Maro Philander Wright Blackburn ::: (Japanese) myself, (Greek) lover of mankind, (English) maker, (Scottish) black brook
Reginald Fileas Philander Zoyamor ::: (English) king's advisor, (Greek) he who loves deeply, (Greek) lover of mankind, (Greek/Latin/me) lover of all living beings
Maro Emeterio Yorick Gaylord ::: (Japanese) myself, (Greek) he who deserves affection, (Scandinavian) a form of George, (French) merry lord; jailer
Maro Percival Blackburn Wright ::: (Japanese) myself, (French) pierce the valley, (Scottish) black brook, (English) maker
Zoyamor Androcles Reginald Blackburn ::: (Greek/Latin/me) lover of all living beings, (Greek) man covered with glory, (English) king's advisor, (Scottish) black brook
Zoyamor Philander Wright Blackburn ::: (Greek/Latin/me) lover of all living beings, (Greek) lover of mankind, (English) maker, (Scottish) black brook
Maro Fileas Renatus Wright ::: (Japanese) myself, (Greek) he who loves deeply, (Italian) reborn, (English) maker
Reginald Waterfall Darwin NeoWilliams ::: (English) king's advisor, (American) waterfall, (English) dear friend, (American) new Williams
Maro Emeterio Felix NeoWilliams ::: (Japanese) myself, (Greek) he who deserves affection, (Latin) fortunate; happy, (American) new Williams
Zoyamor Phoenix Darwin ::: (Greek/Latin/me) lover of all living beings, (English) phoenix, (English) dear friend
Maro Bonito Reginald Hodgson ::: (Japanese) myself, (Latin) worthy, (English) king's advisor, (English) son of Roger
Zoyamor Herodes Philander NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (Greek) the fire dragon, (Greek) lover of mankind, (American) new Williams
Zoyamor Emeterio Renatus Waterfall ::: (Greek/Latin/me) lover of all living beings, (Greek) he who deserves affection, (Italian) reborn, (American) waterfall
Maro Waterfall Gaylord NeoWilliams ::: (Japanese) myself, (American) waterfall, (French) merry lord; jailer, (American) new Williams
Maro Yorick Androcles Blackburn ::: (Japanese) myself, (Scandinavian) a form of George, (Greek) man covered with glory, (Scottish) black brook
Reginald Phoenix Philander Darwin ::: (English) king's advisor, (English) phoenix, (Greek) lover of mankind, (English) dear friend
Zoyamor Fileas Phoenix Wright ::: (Greek/Latin/me) lover of all living beings, (Greek) he who loves deeply, (English) phoenix, (English) maker
Reginald Maro Darwin Hodgson ::: (English) king's advisor, (Japanese) myself, (English) dear friend, (English) son of Roger
Zoyamor Bonito Renatus Gaylord ::: (Greek/Latin/me) lover of all living beings, (Latin) worthy, (Italian) reborn, (French) merry lord; jailer
Zoyamor Maro Felix Waterfall ::: (Greek/Latin/me) lover of all living beings, (Japanese) myself, (Latin) fortunate; happy, (American) waterfall
Maro Philander Zoyamor NeoWilliams ::: (Japanese) myself, (Greek) lover of mankind, (Greek/Latin/me) lover of all living beings, (American) new Williams
Zoyamor Quigley Renatus Wright ::: (Greek/Latin/me) lover of all living beings, (Irish) maternal side, (Italian) reborn, (English) maker
Reginald Quigley Felix Gaylord ::: (English) king's advisor, (Irish) maternal side, (Latin) fortunate; happy, (French) merry lord; jailer
Reginald Herodes Felix Wright ::: (English) king's advisor, (Greek) the fire dragon, (Latin) fortunate; happy, (English) maker
Reginald Philander Felix Darwin ::: (English) king's advisor, (Greek) lover of mankind, (Latin) fortunate; happy, (English) dear friend
Maro Yorick Philander Hodgson ::: (Japanese) myself, (Scandinavian) a form of George, (Greek) lover of mankind, (English) son of Roger
Zoyamor Fileas Blackburn Gaylord ::: (Greek/Latin/me) lover of all living beings, (Greek) he who loves deeply, (Scottish) black brook, (French) merry lord; jailer
Maro Percival Hodgson ::: (Japanese) myself, (French) pierce the valley, (English) son of Roger
Reginald Emeterio Zoyamor ::: (English) king's advisor, (Greek) he who deserves affection, (Greek/Latin/me) lover of all living beings
Zoyamor Emeterio Wright Hodgson ::: (Greek/Latin/me) lover of all living beings, (Greek) he who deserves affection, (English) maker, (English) son of Roger
Reginald Waterfall Emeterio Hodgson ::: (English) king's advisor, (American) waterfall, (Greek) he who deserves affection, (English) son of Roger
Maro Bonito Renatus Darwin ::: (Japanese) myself, (Latin) worthy, (Italian) reborn, (English) dear friend
Reginald Herodes Quigley Hodgson ::: (English) king's advisor, (Greek) the fire dragon, (Irish) maternal side, (English) son of Roger
Zoyamor Yorick Gaylord ::: (Greek/Latin/me) lover of all living beings, (Scandinavian) a form of George, (French) merry lord; jailer
Zoyamor Felix Reginald Wright ::: (Greek/Latin/me) lover of all living beings, (Latin) fortunate; happy, (English) king's advisor, (English) maker
Zoyamor Philander Maro Waterfall ::: (Greek/Latin/me) lover of all living beings, (Greek) lover of mankind, (Japanese) myself, (American) waterfall
Reginald Androcles Waterfall Hodgson ::: (English) king's advisor, (Greek) man covered with glory, (American) waterfall, (English) son of Roger
Maro Fileas Wright Blackburn ::: (Japanese) myself, (Greek) he who loves deeply, (English) maker, (Scottish) black brook
Maro Yorick Emeterio Blackburn ::: (Japanese) myself, (Scandinavian) a form of George, (Greek) he who deserves affection, (Scottish) black brook
Maro Zoyamor Wright Blackburn ::: (Japanese) myself, (Greek/Latin/me) lover of all living beings, (English) maker, (Scottish) black brook
Zoyamor Androcles Phoenix Blackburn ::: (Greek/Latin/me) lover of all living beings, (Greek) man covered with glory, (English) phoenix, (Scottish) black brook
Maro Renatus Fileas Blackburn ::: (Japanese) myself, (Italian) reborn, (Greek) he who loves deeply, (Scottish) black brook
Maro Fileas Philander Wright ::: (Japanese) myself, (Greek) he who loves deeply, (Greek) lover of mankind, (English) maker
Zoyamor Renatus Philander Hodgson ::: (Greek/Latin/me) lover of all living beings, (Italian) reborn, (Greek) lover of mankind, (English) son of Roger
Maro Waterfall Wright Blackburn ::: (Japanese) myself, (American) waterfall, (English) maker, (Scottish) black brook
Reginald Phoenix Felix Blackburn ::: (English) king's advisor, (English) phoenix, (Latin) fortunate; happy, (Scottish) black brook
Maro Herodes Waterfall Hodgson ::: (Japanese) myself, (Greek) the fire dragon, (American) waterfall, (English) son of Roger
Maro Bonito Yorick Zoyamor ::: (Japanese) myself, (Latin) worthy, (Scandinavian) a form of George, (Greek/Latin/me) lover of all living beings
Zoyamor Androcles Gaylord Hodgson ::: (Greek/Latin/me) lover of all living beings, (Greek) man covered with glory, (French) merry lord; jailer, (English) son of Roger
Maro Zoyamor Quigley Blackburn ::: (Japanese) myself, (Greek/Latin/me) lover of all living beings, (Irish) maternal side, (Scottish) black brook
Zoyamor Philander Felix Gaylord ::: (Greek/Latin/me) lover of all living beings, (Greek) lover of mankind, (Latin) fortunate; happy, (French) merry lord; jailer
Reginald Emeterio Wright ::: (English) king's advisor, (Greek) he who deserves affection, (English) maker
Maro Philander Renatus Gaylord ::: (Japanese) myself, (Greek) lover of mankind, (Italian) reborn, (French) merry lord; jailer
Zoyamor Herodes Yorick Blackburn ::: (Greek/Latin/me) lover of all living beings, (Greek) the fire dragon, (Scandinavian) a form of George, (Scottish) black brook
Maro Zoyamor Percival Waterfall ::: (Japanese) myself, (Greek/Latin/me) lover of all living beings, (French) pierce the valley, (American) waterfall
Reginald Phoenix Gaylord ::: (English) king's advisor, (English) phoenix, (French) merry lord; jailer
Maro Fileas Zoyamor Waterfall ::: (Japanese) myself, (Greek) he who loves deeply, (Greek/Latin/me) lover of all living beings, (American) waterfall
Maro Reginald Waterfall Darwin ::: (Japanese) myself, (English) king's advisor, (American) waterfall, (English) dear friend
Reginald Quigley Androcles Hodgson ::: (English) king's advisor, (Irish) maternal side, (Greek) man covered with glory, (English) son of Roger
Maro Androcles Emeterio Zoyamor ::: (Japanese) myself, (Greek) man covered with glory, (Greek) he who deserves affection, (Greek/Latin/me) lover of all living beings
Reginald Emeterio Blackburn Wright ::: (English) king's advisor, (Greek) he who deserves affection, (Scottish) black brook, (English) maker
Zoyamor Maro Emeterio NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (Japanese) myself, (Greek) he who deserves affection, (American) new Williams
Reginald Herodes Waterfall NeoWilliams ::: (English) king's advisor, (Greek) the fire dragon, (American) waterfall, (American) new Williams
Maro Philander Phoenix Waterfall ::: (Japanese) myself, (Greek) lover of mankind, (English) phoenix, (American) waterfall
Maro Waterfall Renatus Hodgson ::: (Japanese) myself, (American) waterfall, (Italian) reborn, (English) son of Roger
Maro Philander Phoenix Gaylord ::: (Japanese) myself, (Greek) lover of mankind, (English) phoenix, (French) merry lord; jailer
Maro Renatus Yorick Blackburn ::: (Japanese) myself, (Italian) reborn, (Scandinavian) a form of George, (Scottish) black brook
Zoyamor Reginald Wright Gaylord ::: (Greek/Latin/me) lover of all living beings, (English) king's advisor, (English) maker, (French) merry lord; jailer
Zoyamor Maro Bonito Hodgson ::: (Greek/Latin/me) lover of all living beings, (Japanese) myself, (Latin) worthy, (English) son of Roger
Reginald Herodes Gaylord Hodgson ::: (English) king's advisor, (Greek) the fire dragon, (French) merry lord; jailer, (English) son of Roger
Maro Philander Zoyamor Waterfall ::: (Japanese) myself, (Greek) lover of mankind, (Greek/Latin/me) lover of all living beings, (American) waterfall
Reginald Phoenix Yorick NeoWilliams ::: (English) king's advisor, (English) phoenix, (Scandinavian) a form of George, (American) new Williams
Reginald Androcles Hodgson Wright ::: (English) king's advisor, (Greek) man covered with glory, (English) son of Roger, (English) maker
Maro Philander Quigley Blackburn ::: (Japanese) myself, (Greek) lover of mankind, (Irish) maternal side, (Scottish) black brook
Zoyamor Philander Herodes Hodgson ::: (Greek/Latin/me) lover of all living beings, (Greek) lover of mankind, (Greek) the fire dragon, (English) son of Roger
Maro Bonito Yorick Waterfall ::: (Japanese) myself, (Latin) worthy, (Scandinavian) a form of George, (American) waterfall
Reginald Zoyamor Bonito Waterfall ::: (English) king's advisor, (Greek/Latin/me) lover of all living beings, (Latin) worthy, (American) waterfall
Reginald Zoyamor Philander Blackburn ::: (English) king's advisor, (Greek/Latin/me) lover of all living beings, (Greek) lover of mankind, (Scottish) black brook
Maro Reginald Herodes Hodgson ::: (Japanese) myself, (English) king's advisor, (Greek) the fire dragon, (English) son of Roger
Reginald Percival Philander Hodgson ::: (English) king's advisor, (French) pierce the valley, (Greek) lover of mankind, (English) son of Roger
Zoyamor Maro Renatus Hodgson ::: (Greek/Latin/me) lover of all living beings, (Japanese) myself, (Italian) reborn, (English) son of Roger
Reginald Felix Fileas NeoWilliams ::: (English) king's advisor, (Latin) fortunate; happy, (Greek) he who loves deeply, (American) new Williams
Maro Bonito Hodgson Darwin ::: (Japanese) myself, (Latin) worthy, (English) son of Roger, (English) dear friend
Maro Herodes Phoenix NeoWilliams ::: (Japanese) myself, (Greek) the fire dragon, (English) phoenix, (American) new Williams
Zoyamor Philander Waterfall Blackburn ::: (Greek/Latin/me) lover of all living beings, (Greek) lover of mankind, (American) waterfall, (Scottish) black brook
Zoyamor Quigley Bonito Darwin ::: (Greek/Latin/me) lover of all living beings, (Irish) maternal side, (Latin) worthy, (English) dear friend
Maro Waterfall Philander NeoWilliams ::: (Japanese) myself, (American) waterfall, (Greek) lover of mankind, (American) new Williams
Maro Renatus Waterfall Blackburn ::: (Japanese) myself, (Italian) reborn, (American) waterfall, (Scottish) black brook
Maro Zoyamor Renatus Waterfall ::: (Japanese) myself, (Greek/Latin/me) lover of all living beings, (Italian) reborn, (American) waterfall
Maro Bonito Felix Zoyamor ::: (Japanese) myself, (Latin) worthy, (Latin) fortunate; happy, (Greek/Latin/me) lover of all living beings
Maro Androcles Yorick Blackburn ::: (Japanese) myself, (Greek) man covered with glory, (Scandinavian) a form of George, (Scottish) black brook
Reginald Zoyamor Philander Darwin ::: (English) king's advisor, (Greek/Latin/me) lover of all living beings, (Greek) lover of mankind, (English) dear friend
Maro Yorick Bonito Blackburn ::: (Japanese) myself, (Scandinavian) a form of George, (Latin) worthy, (Scottish) black brook
Maro Reginald Quigley Gaylord ::: (Japanese) myself, (English) king's advisor, (Irish) maternal side, (French) merry lord; jailer
Zoyamor Percival Fileas Hodgson ::: (Greek/Latin/me) lover of all living beings, (French) pierce the valley, (Greek) he who loves deeply, (English) son of Roger
Zoyamor Waterfall Quigley Darwin ::: (Greek/Latin/me) lover of all living beings, (American) waterfall, (Irish) maternal side, (English) dear friend
Reginald Quigley Phoenix Blackburn ::: (English) king's advisor, (Irish) maternal side, (English) phoenix, (Scottish) black brook
Zoyamor Bonito Herodes Waterfall ::: (Greek/Latin/me) lover of all living beings, (Latin) worthy, (Greek) the fire dragon, (American) waterfall
Maro Androcles Waterfall Gaylord ::: (Japanese) myself, (Greek) man covered with glory, (American) waterfall, (French) merry lord; jailer
Maro Yorick Reginald NeoWilliams ::: (Japanese) myself, (Scandinavian) a form of George, (English) king's advisor, (American) new Williams
Zoyamor Herodes Blackburn Wright ::: (Greek/Latin/me) lover of all living beings, (Greek) the fire dragon, (Scottish) black brook, (English) maker
Zoyamor Androcles Waterfall NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (Greek) man covered with glory, (American) waterfall, (American) new Williams
Reginald Percival NeoWilliams Gaylord ::: (English) king's advisor, (French) pierce the valley, (American) new Williams, (French) merry lord; jailer
Maro Herodes Emeterio Zoyamor ::: (Japanese) myself, (Greek) the fire dragon, (Greek) he who deserves affection, (Greek/Latin/me) lover of all living beings
Reginald Philander Herodes Darwin ::: (English) king's advisor, (Greek) lover of mankind, (Greek) the fire dragon, (English) dear friend
Reginald Percival Gaylord Wright ::: (English) king's advisor, (French) pierce the valley, (French) merry lord; jailer, (English) maker
Zoyamor Maro Felix Blackburn ::: (Greek/Latin/me) lover of all living beings, (Japanese) myself, (Latin) fortunate; happy, (Scottish) black brook
Maro Fileas NeoWilliams Wright ::: (Japanese) myself, (Greek) he who loves deeply, (American) new Williams, (English) maker
Maro Bonito Phoenix Waterfall ::: (Japanese) myself, (Latin) worthy, (English) phoenix, (American) waterfall
Maro Emeterio Percival Zoyamor ::: (Japanese) myself, (Greek) he who deserves affection, (French) pierce the valley, (Greek/Latin/me) lover of all living beings
Reginald Renatus Yorick Waterfall ::: (English) king's advisor, (Italian) reborn, (Scandinavian) a form of George, (American) waterfall
Zoyamor Percival Fileas Waterfall ::: (Greek/Latin/me) lover of all living beings, (French) pierce the valley, (Greek) he who loves deeply, (American) waterfall
Maro Renatus Wright Blackburn ::: (Japanese) myself, (Italian) reborn, (English) maker, (Scottish) black brook
Reginald Felix Hodgson Gaylord ::: (English) king's advisor, (Latin) fortunate; happy, (English) son of Roger, (French) merry lord; jailer
Reginald Emeterio Hodgson Darwin ::: (English) king's advisor, (Greek) he who deserves affection, (English) son of Roger, (English) dear friend
Reginald Philander NeoWilliams Blackburn ::: (English) king's advisor, (Greek) lover of mankind, (American) new Williams, (Scottish) black brook
Maro Emeterio Hodgson Gaylord ::: (Japanese) myself, (Greek) he who deserves affection, (English) son of Roger, (French) merry lord; jailer
Maro Androcles Zoyamor Gaylord ::: (Japanese) myself, (Greek) man covered with glory, (Greek/Latin/me) lover of all living beings, (French) merry lord; jailer
Zoyamor Maro Quigley NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (Japanese) myself, (Irish) maternal side, (American) new Williams
Reginald Emeterio Bonito Zoyamor ::: (English) king's advisor, (Greek) he who deserves affection, (Latin) worthy, (Greek/Latin/me) lover of all living beings
Maro Percival Reginald Blackburn ::: (Japanese) myself, (French) pierce the valley, (English) king's advisor, (Scottish) black brook
Zoyamor Herodes Yorick Waterfall ::: (Greek/Latin/me) lover of all living beings, (Greek) the fire dragon, (Scandinavian) a form of George, (American) waterfall
Zoyamor Percival Quigley Darwin ::: (Greek/Latin/me) lover of all living beings, (French) pierce the valley, (Irish) maternal side, (English) dear friend
Zoyamor Felix Fileas NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (Latin) fortunate; happy, (Greek) he who loves deeply, (American) new Williams
Maro Reginald Percival Darwin ::: (Japanese) myself, (English) king's advisor, (French) pierce the valley, (English) dear friend
Zoyamor Philander NeoWilliams Darwin ::: (Greek/Latin/me) lover of all living beings, (Greek) lover of mankind, (American) new Williams, (English) dear friend
Zoyamor Philander Hodgson Darwin ::: (Greek/Latin/me) lover of all living beings, (Greek) lover of mankind, (English) son of Roger, (English) dear friend
Zoyamor Reginald Androcles Blackburn ::: (Greek/Latin/me) lover of all living beings, (English) king's advisor, (Greek) man covered with glory, (Scottish) black brook
Maro Quigley Reginald Zoyamor ::: (Japanese) myself, (Irish) maternal side, (English) king's advisor, (Greek/Latin/me) lover of all living beings
Maro Waterfall Darwin NeoWilliams ::: (Japanese) myself, (American) waterfall, (English) dear friend, (American) new Williams
Zoyamor Felix Androcles Darwin ::: (Greek/Latin/me) lover of all living beings, (Latin) fortunate; happy, (Greek) man covered with glory, (English) dear friend
Reginald Percival Zoyamor ::: (English) king's advisor, (French) pierce the valley, (Greek/Latin/me) lover of all living beings
Zoyamor Percival Hodgson NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (French) pierce the valley, (English) son of Roger, (American) new Williams
Reginald Renatus Emeterio Hodgson ::: (English) king's advisor, (Italian) reborn, (Greek) he who deserves affection, (English) son of Roger
Reginald Phoenix Emeterio Waterfall ::: (English) king's advisor, (English) phoenix, (Greek) he who deserves affection, (American) waterfall
Reginald Yorick Waterfall ::: (English) king's advisor, (Scandinavian) a form of George, (American) waterfall
Maro Felix Blackburn Darwin ::: (Japanese) myself, (Latin) fortunate; happy, (Scottish) black brook, (English) dear friend
Reginald Maro Waterfall Blackburn ::: (English) king's advisor, (Japanese) myself, (American) waterfall, (Scottish) black brook
Maro Herodes Quigley Gaylord ::: (Japanese) myself, (Greek) the fire dragon, (Irish) maternal side, (French) merry lord; jailer
Maro Zoyamor Blackburn Wright ::: (Japanese) myself, (Greek/Latin/me) lover of all living beings, (Scottish) black brook, (English) maker
Maro Felix Philander Blackburn ::: (Japanese) myself, (Latin) fortunate; happy, (Greek) lover of mankind, (Scottish) black brook
Zoyamor Androcles Herodes Gaylord ::: (Greek/Latin/me) lover of all living beings, (Greek) man covered with glory, (Greek) the fire dragon, (French) merry lord; jailer
Reginald Waterfall Fileas Wright ::: (English) king's advisor, (American) waterfall, (Greek) he who loves deeply, (English) maker
Zoyamor Emeterio Quigley Waterfall ::: (Greek/Latin/me) lover of all living beings, (Greek) he who deserves affection, (Irish) maternal side, (American) waterfall
Maro Reginald NeoWilliams Hodgson ::: (Japanese) myself, (English) king's advisor, (American) new Williams, (English) son of Roger
Maro Androcles Gaylord NeoWilliams ::: (Japanese) myself, (Greek) man covered with glory, (French) merry lord; jailer, (American) new Williams
Reginald Phoenix Percival Zoyamor ::: (English) king's advisor, (English) phoenix, (French) pierce the valley, (Greek/Latin/me) lover of all living beings
Zoyamor Felix Reginald Blackburn ::: (Greek/Latin/me) lover of all living beings, (Latin) fortunate; happy, (English) king's advisor, (Scottish) black brook
Zoyamor Felix Bonito Hodgson ::: (Greek/Latin/me) lover of all living beings, (Latin) fortunate; happy, (Latin) worthy, (English) son of Roger
Reginald Percival Felix NeoWilliams ::: (English) king's advisor, (French) pierce the valley, (Latin) fortunate; happy, (American) new Williams
Reginald Phoenix Quigley Hodgson ::: (English) king's advisor, (English) phoenix, (Irish) maternal side, (English) son of Roger
Reginald Waterfall Felix Darwin ::: (English) king's advisor, (American) waterfall, (Latin) fortunate; happy, (English) dear friend
Reginald Androcles Emeterio NeoWilliams ::: (English) king's advisor, (Greek) man covered with glory, (Greek) he who deserves affection, (American) new Williams
Reginald Yorick Bonito Blackburn ::: (English) king's advisor, (Scandinavian) a form of George, (Latin) worthy, (Scottish) black brook
Zoyamor Androcles Reginald Wright ::: (Greek/Latin/me) lover of all living beings, (Greek) man covered with glory, (English) king's advisor, (English) maker
Zoyamor Percival Yorick Darwin ::: (Greek/Latin/me) lover of all living beings, (French) pierce the valley, (Scandinavian) a form of George, (English) dear friend
Maro Renatus Philander Darwin ::: (Japanese) myself, (Italian) reborn, (Greek) lover of mankind, (English) dear friend
Zoyamor Yorick Blackburn Hodgson ::: (Greek/Latin/me) lover of all living beings, (Scandinavian) a form of George, (Scottish) black brook, (English) son of Roger
Zoyamor Maro Gaylord Wright ::: (Greek/Latin/me) lover of all living beings, (Japanese) myself, (French) merry lord; jailer, (English) maker
Reginald Phoenix Yorick Wright ::: (English) king's advisor, (English) phoenix, (Scandinavian) a form of George, (English) maker
Reginald Androcles Waterfall Wright ::: (English) king's advisor, (Greek) man covered with glory, (American) waterfall, (English) maker
Zoyamor Yorick Androcles Darwin ::: (Greek/Latin/me) lover of all living beings, (Scandinavian) a form of George, (Greek) man covered with glory, (English) dear friend
Reginald Fileas Yorick Blackburn ::: (English) king's advisor, (Greek) he who loves deeply, (Scandinavian) a form of George, (Scottish) black brook
Zoyamor Waterfall Blackburn NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (American) waterfall, (Scottish) black brook, (American) new Williams
Reginald Zoyamor Blackburn Hodgson ::: (English) king's advisor, (Greek/Latin/me) lover of all living beings, (Scottish) black brook, (English) son of Roger
Maro Waterfall NeoWilliams Darwin ::: (Japanese) myself, (American) waterfall, (American) new Williams, (English) dear friend
Reginald Percival Waterfall Zoyamor ::: (English) king's advisor, (French) pierce the valley, (American) waterfall, (Greek/Latin/me) lover of all living beings
Reginald Fileas Bonito Zoyamor ::: (English) king's advisor, (Greek) he who loves deeply, (Latin) worthy, (Greek/Latin/me) lover of all living beings
Zoyamor Herodes NeoWilliams Blackburn ::: (Greek/Latin/me) lover of all living beings, (Greek) the fire dragon, (American) new Williams, (Scottish) black brook
Reginald Bonito Blackburn ::: (English) king's advisor, (Latin) worthy, (Scottish) black brook
Zoyamor Felix Wright NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (Latin) fortunate; happy, (English) maker, (American) new Williams
Reginald Felix Quigley Zoyamor ::: (English) king's advisor, (Latin) fortunate; happy, (Irish) maternal side, (Greek/Latin/me) lover of all living beings
Maro Fileas Felix Zoyamor ::: (Japanese) myself, (Greek) he who loves deeply, (Latin) fortunate; happy, (Greek/Latin/me) lover of all living beings
Maro Emeterio Percival Wright ::: (Japanese) myself, (Greek) he who deserves affection, (French) pierce the valley, (English) maker
Zoyamor Phoenix Bonito Blackburn ::: (Greek/Latin/me) lover of all living beings, (English) phoenix, (Latin) worthy, (Scottish) black brook
Zoyamor Reginald Androcles Waterfall ::: (Greek/Latin/me) lover of all living beings, (English) king's advisor, (Greek) man covered with glory, (American) waterfall
Maro Fileas Reginald Darwin ::: (Japanese) myself, (Greek) he who loves deeply, (English) king's advisor, (English) dear friend
Maro Fileas Bonito Gaylord ::: (Japanese) myself, (Greek) he who loves deeply, (Latin) worthy, (French) merry lord; jailer
Reginald Renatus Yorick Wright ::: (English) king's advisor, (Italian) reborn, (Scandinavian) a form of George, (English) maker
Reginald Waterfall Androcles Darwin ::: (English) king's advisor, (American) waterfall, (Greek) man covered with glory, (English) dear friend
Reginald Percival Felix Wright ::: (English) king's advisor, (French) pierce the valley, (Latin) fortunate; happy, (English) maker
Zoyamor Androcles Yorick Hodgson ::: (Greek/Latin/me) lover of all living beings, (Greek) man covered with glory, (Scandinavian) a form of George, (English) son of Roger
Zoyamor Androcles Felix Waterfall ::: (Greek/Latin/me) lover of all living beings, (Greek) man covered with glory, (Latin) fortunate; happy, (American) waterfall
Maro Waterfall Reginald Blackburn ::: (Japanese) myself, (American) waterfall, (English) king's advisor, (Scottish) black brook
Zoyamor Percival Felix Gaylord ::: (Greek/Latin/me) lover of all living beings, (French) pierce the valley, (Latin) fortunate; happy, (French) merry lord; jailer
Maro Bonito Androcles Hodgson ::: (Japanese) myself, (Latin) worthy, (Greek) man covered with glory, (English) son of Roger
Zoyamor Bonito Maro Hodgson ::: (Greek/Latin/me) lover of all living beings, (Latin) worthy, (Japanese) myself, (English) son of Roger
Maro Waterfall Zoyamor Gaylord ::: (Japanese) myself, (American) waterfall, (Greek/Latin/me) lover of all living beings, (French) merry lord; jailer
Reginald Percival Zoyamor Gaylord ::: (English) king's advisor, (French) pierce the valley, (Greek/Latin/me) lover of all living beings, (French) merry lord; jailer
Zoyamor Yorick Darwin Hodgson ::: (Greek/Latin/me) lover of all living beings, (Scandinavian) a form of George, (English) dear friend, (English) son of Roger
Reginald Emeterio Maro Wright ::: (English) king's advisor, (Greek) he who deserves affection, (Japanese) myself, (English) maker
Zoyamor Yorick Quigley Gaylord ::: (Greek/Latin/me) lover of all living beings, (Scandinavian) a form of George, (Irish) maternal side, (French) merry lord; jailer
Reginald Quigley Phoenix Zoyamor ::: (English) king's advisor, (Irish) maternal side, (English) phoenix, (Greek/Latin/me) lover of all living beings
Zoyamor Fileas Wright Darwin ::: (Greek/Latin/me) lover of all living beings, (Greek) he who loves deeply, (English) maker, (English) dear friend
Zoyamor Yorick Percival Darwin ::: (Greek/Latin/me) lover of all living beings, (Scandinavian) a form of George, (French) pierce the valley, (English) dear friend
Maro Emeterio Herodes Wright ::: (Japanese) myself, (Greek) he who deserves affection, (Greek) the fire dragon, (English) maker
Reginald Maro Waterfall Gaylord ::: (English) king's advisor, (Japanese) myself, (American) waterfall, (French) merry lord; jailer
Maro Waterfall Hodgson NeoWilliams ::: (Japanese) myself, (American) waterfall, (English) son of Roger, (American) new Williams
Reginald Emeterio Herodes Gaylord ::: (English) king's advisor, (Greek) he who deserves affection, (Greek) the fire dragon, (French) merry lord; jailer
Zoyamor Yorick Androcles NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (Scandinavian) a form of George, (Greek) man covered with glory, (American) new Williams
Zoyamor Phoenix Wright NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (English) phoenix, (English) maker, (American) new Williams
Reginald Yorick Waterfall Blackburn ::: (English) king's advisor, (Scandinavian) a form of George, (American) waterfall, (Scottish) black brook
Reginald Fileas NeoWilliams Gaylord ::: (English) king's advisor, (Greek) he who loves deeply, (American) new Williams, (French) merry lord; jailer
Zoyamor Emeterio Felix Waterfall ::: (Greek/Latin/me) lover of all living beings, (Greek) he who deserves affection, (Latin) fortunate; happy, (American) waterfall
Reginald Emeterio NeoWilliams Hodgson ::: (English) king's advisor, (Greek) he who deserves affection, (American) new Williams, (English) son of Roger
Reginald Fileas Maro NeoWilliams ::: (English) king's advisor, (Greek) he who loves deeply, (Japanese) myself, (American) new Williams
Reginald Androcles Zoyamor Gaylord ::: (English) king's advisor, (Greek) man covered with glory, (Greek/Latin/me) lover of all living beings, (French) merry lord; jailer
Zoyamor Maro Renatus Gaylord ::: (Greek/Latin/me) lover of all living beings, (Japanese) myself, (Italian) reborn, (French) merry lord; jailer
Maro Yorick Quigley Wright ::: (Japanese) myself, (Scandinavian) a form of George, (Irish) maternal side, (English) maker
Maro Yorick Zoyamor NeoWilliams ::: (Japanese) myself, (Scandinavian) a form of George, (Greek/Latin/me) lover of all living beings, (American) new Williams
Reginald Maro Yorick Wright ::: (English) king's advisor, (Japanese) myself, (Scandinavian) a form of George, (English) maker
Reginald Percival Emeterio Blackburn ::: (English) king's advisor, (French) pierce the valley, (Greek) he who deserves affection, (Scottish) black brook
Maro Emeterio Darwin Wright ::: (Japanese) myself, (Greek) he who deserves affection, (English) dear friend, (English) maker
Reginald Bonito Waterfall Darwin ::: (English) king's advisor, (Latin) worthy, (American) waterfall, (English) dear friend
Reginald Felix Percival Blackburn ::: (English) king's advisor, (Latin) fortunate; happy, (French) pierce the valley, (Scottish) black brook
